FL_DATE,ORIGIN_STATE,FLIGHT_COUNT
2020-04-11,Ohio,161
2020-04-11,Oklahoma,71
2020-04-11,Oregon,95
2020-04-11,Pennsylvania,382
2020-04-11,Puerto Rico,34
2020-04-11,Rhode Island,32
2020-04-11,South Carolina,112
2020-04-11,South Dakota,25
2020-04-11,Tennessee,226
2020-04-11,Texas,1343
2020-04-11,U.S. Pacific Trust Territories and Possessions,1
2020-04-11,U.S. Virgin Islands,5
2020-04-11,Utah,176
2020-04-11,Vermont,13
2020-04-11,Virginia,377
2020-04-11,Washington,251
2020-04-11,West Virginia,14
2020-04-11,Wisconsin,120
2020-04-11,Wyoming,13
2020-04-12,Alabama,65
2020-04-12,Alaska,34
2020-04-12,Arizona,374
2020-04-12,Arkansas,58
2020-04-12,California,1089
2020-04-12,Colorado,491
2020-04-12,Connecticut,35
2020-04-12,Florida,946
2020-04-12,Georgia,525
2020-04-12,Hawaii,97
2020-04-12,Idaho,41
2020-04-12,Illinois,713
2020-04-12,Indiana,121
2020-04-12,Iowa,52
2020-04-12,Kansas,31
2020-04-12,Kentucky,120
2020-04-12,Louisiana,143
2020-04-12,Maine,21
2020-04-12,Maryland,197
2020-04-12,Massachusetts,122
2020-04-12,Michigan,300
2020-04-12,Minnesota,200
2020-04-12,Mississippi,23
2020-04-12,Missouri,274
2020-04-12,Montana,37
2020-04-12,Nebraska,60
2020-04-12,Nevada,327
2020-04-12,New Hampshire,18
2020-04-12,New Jersey,82
2020-04-12,New Mexico,53
2020-04-12,New York,313
2020-04-12,North Carolina,560
2020-04-12,North Dakota,38
2020-04-12,Ohio,166
2020-04-12,Oklahoma,84
2020-04-12,Oregon,107
2020-04-12,Pennsylvania,330
2020-04-12,Puerto Rico,32
2020-04-12,Rhode Island,29
2020-04-12,South Carolina,109
2020-04-12,South Dakota,29
2020-04-12,Tennessee,266
2020-04-12,Texas,1308
2020-04-12,U.S. Pacific Trust Territories and Possessions,1
2020-04-12,U.S. Virgin Islands,4
2020-04-12,Utah,192
2020-04-12,Vermont,11
2020-04-12,Virginia,374
2020-04-12,Washington,247
2020-04-12,West Virginia,14
2020-04-12,Wisconsin,113
2020-04-12,Wyoming,13
2020-04-13,Alabama,62
2020-04-13,Alaska,45
2020-04-13,Arizona,353
2020-04-13,Arkansas,54
2020-04-13,California,1194
2020-04-13,Colorado,516
2020-04-13,Connecticut,37
2020-04-13,Florida,890
2020-04-13,Georgia,541
2020-04-13,Hawaii,97
2020-04-13,Idaho,43
2020-04-13,Illinois,750
2020-04-13,Indiana,116
2020-04-13,Iowa,53
2020-04-13,Kansas,33
2020-04-13,Kentucky,127
2020-04-13,Louisiana,134
2020-04-13,Maine,24
2020-04-13,Maryland,225
2020-04-13,Massachusetts,120
2020-04-13,Michigan,313
2020-04-13,Minnesota,215
2020-04-13,Mississippi,25
2020-04-13,Missouri,275
2020-04-13,Montana,38
2020-04-13,Nebraska,60
2020-04-13,Nevada,323
2020-04-13,New Hampshire,23
2020-04-13,New Jersey,82
2020-04-13,New Mexico,54
2020-04-13,New York,292
2020-04-13,North Carolina,586
2020-04-13,North Dakota,36
2020-04-13,Ohio,163
2020-04-13,Oklahoma,87
2020-04-13,Oregon,114
2020-04-13,Pennsylvania,349
2020-04-13,Puerto Rico,30
2020-04-13,Rhode Island,32
2020-04-13,South Carolina,100
2020-04-13,South Dakota,27
2020-04-13,Tennessee,241
2020-04-13,Texas,1324
2020-04-13,U.S. Pacific Trust Territories and Possessions,1
2020-04-13,U.S. Virgin Islands,3
2020-04-13,Utah,192
2020-04-13,Vermont,13
2020-04-13,Virginia,378
2020-04-13,Washington,260
2020-04-13,West Virginia,14
2020-04-13,Wisconsin,118
2020-04-13,Wyoming,14
2020-04-14,Alabama,57
2020-04-14,Alaska,43
2020-04-14,Arizona,271
2020-04-14,Arkansas,49
2020-04-14,California,873
2020-04-14,Colorado,433
2020-04-14,Connecticut,32
2020-04-14,Florida,661
2020-04-14,Georgia,509
2020-04-14,Hawaii,71
2020-04-14,Idaho,39
2020-04-14,Illinois,648
2020-04-14,Indiana,89
2020-04-14,Iowa,43
2020-04-14,Kansas,27
2020-04-14,Kentucky,109
2020-04-14,Louisiana,123
2020-04-14,Maine,24
2020-04-14,Maryland,184
2020-04-14,Massachusetts,116
2020-04-14,Michigan,284
2020-04-14,Minnesota,207
2020-04-14,Mississippi,23
2020-04-14,Missouri,218
2020-04-14,Montana,35
2020-04-14,Nebraska,46
2020-04-14,Nevada,211
2020-04-14,New Hampshire,24
2020-04-14,New Jersey,75
2020-04-14,New Mexico,49
2020-04-14,New York,278
2020-04-14,North Carolina,544
2020-04-14,North Dakota,30
2020-04-14,Ohio,129
2020-04-14,Oklahoma,71
2020-04-14,Oregon,100
2020-04-14,Pennsylvania,325
2020-04-14,Puerto Rico,17
2020-04-14,Rhode Island,30
2020-04-14,South Carolina,92
2020-04-14,South Dakota,23
2020-04-14,Tennessee,192
2020-04-14,Texas,1143
2020-04-14,U.S. Pacific Trust Territories and Possessions,1
2020-04-14,U.S. Virgin Islands,3
2020-04-14,Utah,175
2020-04-14,Vermont,11
2020-04-14,Virginia,351
2020-04-14,Washington,232
2020-04-14,West Virginia,11
2020-04-14,Wisconsin,104
2020-04-14,Wyoming,12
2020-04-15,Alabama,56
2020-04-15,Alaska,47
2020-04-15,Arizona,277
2020-04-15,Arkansas,48
2020-04-15,California,846
2020-04-15,Colorado,441
2020-04-15,Connecticut,35
2020-04-15,Florida,636
2020-04-15,Georgia,392
2020-04-15,Hawaii,71
2020-04-15,Idaho,36
2020-04-15,Illinois,665
2020-04-15,Indiana,92
2020-04-15,Iowa,46
2020-04-15,Kansas,31
2020-04-15,Kentucky,100
2020-04-15,Louisiana,117
