FL_DATE,ORIGIN_STATE,FLIGHT_COUNT_2019,FLIGHT_COUNT_2020
2019-04-07,Wyoming,20,14
2019-04-08,Alabama,131,69
2019-04-08,Alaska,106,51
2019-04-08,Arizona,614,410
2019-04-08,Arkansas,101,50
2019-04-08,California,2503,1348
2019-04-08,Colorado,856,506
2019-04-08,Connecticut,96,47
2019-04-08,Florida,1753,998
2019-04-08,Georgia,1244,570
2019-04-08,Hawaii,321,101
2019-04-08,Idaho,87,49
2019-04-08,Illinois,1454,755
2019-04-08,Indiana,216,117
2019-04-08,Iowa,94,49
2019-04-08,Kansas,49,32
2019-04-08,Kentucky,280,128
2019-04-08,Louisiana,254,139
2019-04-08,Maine,54,35
2019-04-08,Maryland,317,231
2019-04-08,Massachusetts,474,162
2019-04-08,Michigan,668,314
2019-04-08,Minnesota,502,225
2019-04-08,Mississippi,45,27
2019-04-08,Missouri,430,292
2019-04-08,Montana,76,45
2019-04-08,Nebraska,100,59
2019-04-08,Nevada,556,322
2019-04-08,New Hampshire,35,23
2019-04-08,New Jersey,482,107
2019-04-08,New Mexico,88,59
2019-04-08,New York,1238,425
2019-04-08,North Carolina,1074,723
2019-04-08,North Dakota,66,39
2019-04-08,Ohio,378,168
2019-04-08,Oklahoma,138,82
2019-04-08,Oregon,310,166
2019-04-08,Pennsylvania,705,436
2019-04-08,Puerto Rico,80,31
2019-04-08,Rhode Island,58,33
2019-04-08,South Carolina,203,115
2019-04-08,South Dakota,44,30
2019-04-08,Tennessee,430,261
2019-04-08,Texas,2303,1470
2019-04-08,U.S. Pacific Trust Territories and Possessions,4,1
2019-04-08,U.S. Virgin Islands,14,5
2019-04-08,Utah,368,195
2019-04-08,Vermont,33,16
2019-04-08,Virginia,924,443
2019-04-08,Washington,647,327
2019-04-08,West Virginia,25,14
2019-04-08,Wisconsin,216,120
2019-04-08,Wyoming,22,13
2019-04-09,Alabama,123,71
2019-04-09,Alaska,101,48
2019-04-09,Arizona,596,414
2019-04-09,Arkansas,95,60
2019-04-09,California,2402,1314
2019-04-09,Colorado,807,526
2019-04-09,Connecticut,94,48
2019-04-09,Florida,1668,1049
2019-04-09,Georgia,1220,572
2019-04-09,Hawaii,308,97
2019-04-09,Idaho,84,51
2019-04-09,Illinois,1412,794
2019-04-09,Indiana,212,122
2019-04-09,Iowa,88,56
