YEAR,FL_DATE,ORIGIN_STATE,FLIGHT_COUNT
2019,2019-04-09,Minnesota,490
2019,2019-04-09,Mississippi,45
2019,2019-04-09,Missouri,421
2019,2019-04-09,Montana,75
2019,2019-04-09,Nebraska,95
2019,2019-04-09,Nevada,504
2019,2019-04-09,New Hampshire,34
2019,2019-04-09,New Jersey,477
2019,2019-04-09,New Mexico,80
2019,2019-04-09,New York,1204
2019,2019-04-09,North Carolina,1042
2019,2019-04-09,North Dakota,62
2019,2019-04-09,Ohio,365
2019,2019-04-09,Oklahoma,128
2019,2019-04-09,Oregon,295
2019,2019-04-09,Pennsylvania,684
2019,2019-04-09,Puerto Rico,75
2019,2019-04-09,Rhode Island,56
2019,2019-04-09,South Carolina,189
2019,2019-04-09,South Dakota,41
2019,2019-04-09,Tennessee,411
2019,2019-04-09,Texas,2186
2019,2019-04-09,U.S. Pacific Trust Territories and Possessions,5
2019,2019-04-09,U.S. Virgin Islands,15
2019,2019-04-09,Utah,349
2019,2019-04-09,Vermont,32
2019,2019-04-09,Virginia,902
2019,2019-04-09,Washington,627
2019,2019-04-09,West Virginia,23
2019,2019-04-09,Wisconsin,206
2019,2019-04-09,Wyoming,22
2019,2019-04-10,Alabama,128
2019,2019-04-10,Alaska,102
2019,2019-04-10,Arizona,599
2019,2019-04-10,Arkansas,98
2019,2019-04-10,California,2442
2019,2019-04-10,Colorado,830
2019,2019-04-10,Connecticut,95
2019,2019-04-10,Florida,1690
2019,2019-04-10,Georgia,1226
2019,2019-04-10,Hawaii,317
2019,2019-04-10,Idaho,84
2019,2019-04-10,Illinois,1433
2019,2019-04-10,Indiana,209
2019,2019-04-10,Iowa,92
2019,2019-04-10,Kansas,47
2019,2019-04-10,Kentucky,266
2019,2019-04-10,Louisiana,249
2019,2019-04-10,Maine,55
2019,2019-04-10,Maryland,315
2019,2019-04-10,Massachusetts,463
2019,2019-04-10,Michigan,659
2019,2019-04-10,Minnesota,494
2019,2019-04-10,Mississippi,45
2019,2019-04-10,Missouri,425
2019,2019-04-10,Montana,74
2019,2019-04-10,Nebraska,99
2019,2019-04-10,Nevada,525
2019,2019-04-10,New Hampshire,36
2019,2019-04-10,New Jersey,474
2019,2019-04-10,New Mexico,81
2019,2019-04-10,New York,1219
2019,2019-04-10,North Carolina,1066
2019,2019-04-10,North Dakota,65
2019,2019-04-10,Ohio,363
2019,2019-04-10,Oklahoma,128
2019,2019-04-10,Oregon,295
2019,2019-04-10,Pennsylvania,691
2019,2019-04-10,Puerto Rico,76
2019,2019-04-10,Rhode Island,56
2019,2019-04-10,South Carolina,197
2019,2019-04-10,South Dakota,45
2019,2019-04-10,Tennessee,415
2019,2019-04-10,Texas,2209
2019,2019-04-10,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-10,U.S. Virgin Islands,13
2019,2019-04-10,Utah,355
2019,2019-04-10,Vermont,33
2019,2019-04-10,Virginia,909
2019,2019-04-10,Washington,635
2019,2019-04-10,West Virginia,22
2019,2019-04-10,Wisconsin,211
2019,2019-04-10,Wyoming,21
2019,2019-04-11,Alabama,132
2019,2019-04-11,Alaska,104
2019,2019-04-11,Arizona,615
2019,2019-04-11,Arkansas,103
2019,2019-04-11,California,2509
2019,2019-04-11,Colorado,856
2019,2019-04-11,Connecticut,96
2019,2019-04-11,Florida,1746
2019,2019-04-11,Georgia,1241
